skeleton_id,service_sequence,edge_count,communication_margin,drone_type
SK-00236,S001>S002>S015,4,1.322380853485683e-06,C
SK-00237,S001>S003>S002,4,1.322380853485683e-06,C
SK-00238,S001>S003>S004,4,0.2164311732641832,C
SK-00239,S001>S003>S005,4,0.2164311732641832,C
SK-00240,S001>S003>S006,4,0.2164311732641832,C
SK-00241,S001>S003>S007,4,0.2164311732641832,C
SK-00242,S001>S003>S008,4,0.2164311732641832,C
SK-00243,S001>S003>S009,4,0.2164311732641832,C
SK-00244,S001>S003>S010,4,0.2164311732641832,C
SK-00245,S001>S003>S011,4,0.2164311732641832,C
SK-00246,S001>S003>S012,4,0.0665317100486219,C
SK-00247,S001>S003>S013,4,0.2164311732641832,C
SK-00248,S001>S003>S014,4,0.2164311732641832,C
SK-00249,S001>S003>S015,4,0.2164311732641832,C
SK-00250,S001>S004>S002,4,1.322380853485683e-06,C
SK-00251,S001>S004>S003,4,0.2164311732641832,C
SK-00252,S001>S004>S005,4,8.522413817803681,C
SK-00253,S001>S004>S006,4,4.189370740555972,C
SK-00254,S001>S004>S007,4,9.122867768647865,C
SK-00255,S001>S004>S008,4,4.831365205739842,C
SK-00256,S001>S004>S009,4,2.38354601331298,C
SK-00257,S001>S004>S010,4,3.963477904678413,C
SK-00258,S001>S004>S011,4,8.325972071864612,C
SK-00259,S001>S004>S012,4,0.0665317100486219,C
SK-00260,S001>S004>S013,4,6.342940737201175,C
