interval_id,t_start,t_end,phase,start_xyz,end_xyz,crossed_dem_cells,partition_reason
113,142.6136289641175,143.19872806757792,cruise,"[11180209.687825903, 2559586.659536541, 273.0566101074219]","[11180213.317941045, 2559594.650092232, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
114,143.19872806757792,143.78382717103833,cruise,"[11180213.317941045, 2559594.650092232, 273.0566101074219]","[11180216.948056187, 2559602.6406479226, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
115,143.78382717103833,144.91467853463342,cruise,"[11180216.948056187, 2559602.6406479226, 273.0566101074219]","[11180223.964167876, 2559618.0844090665, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
116,144.91467853463342,146.04552989822852,cruise,"[11180223.964167876, 2559618.0844090665, 273.0566101074219]","[11180230.980279565, 2559633.52817021, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
117,146.04552989822852,146.62076785506898,cruise,"[11180230.980279565, 2559633.52817021, 273.0566101074219]","[11180234.54921345, 2559641.3840546273, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
118,146.62076785506898,147.19600581190943,cruise,"[11180234.54921345, 2559641.3840546273, 273.0566101074219]","[11180238.118147338, 2559649.239939045, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
119,147.19600581190943,147.751619218693,cruise,"[11180238.118147338, 2559649.239939045, 273.0566101074219]","[11180241.56532514, 2559656.827815771, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
120,147.751619218693,148.3072326254766,cruise,"[11180241.56532514, 2559656.827815771, 273.0566101074219]","[11180245.012502939, 2559664.415692497, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
121,148.3072326254766,149.43808398907169,cruise,"[11180245.012502939, 2559664.415692497, 273.0566101074219]","[11180252.028614629, 2559679.8594536404, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
122,149.43808398907169,150.56893535266678,cruise,"[11180252.028614629, 2559679.8594536404, 273.0566101074219]","[11180259.044726316, 2559695.3032147842, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
123,150.56893535266678,151.17365900594962,cruise,"[11180259.044726316, 2559695.3032147842, 273.0566101074219]","[11180262.79659754, 2559703.5617781635, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
124,151.17365900594962,151.77838265923245,cruise,"[11180262.79659754, 2559703.5617781635, 273.0566101074219]","[11180266.548468769, 2559711.8203415433, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
125,151.77838265923245,152.30451036954472,cruise,"[11180266.548468769, 2559711.8203415433, 273.0566101074219]","[11180269.81270923, 2559719.0055393074, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
126,152.30451036954472,152.83063807985695,cruise,"[11180269.81270923, 2559719.0055393074, 273.0566101074219]","[11180273.076949691, 2559726.190737071, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
127,152.83063807985695,153.96148944348096,cruise,"[11180273.076949691, 2559726.190737071, 273.0566101074219]","[11180280.093061382, 2559741.634498215, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
128,153.96148944348096,155.092340807105,cruise,"[11180280.093061382, 2559741.634498215, 273.0566101074219]","[11180287.109173069, 2559757.0782593586, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
129,155.092340807105,155.72655015683023,cruise,"[11180287.109173069, 2559757.0782593586, 273.0566101074219]","[11180291.043981634, 2559765.7395017, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
130,155.72655015683023,156.36075950655547,cruise,"[11180291.043981634, 2559765.7395017, 273.0566101074219]","[11180294.978790198, 2559774.400744041, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
131,156.36075950655547,156.85740152042533,cruise,"[11180294.978790198, 2559774.400744041, 273.0566101074219]","[11180298.06009332, 2559781.1832628436, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
132,156.85740152042533,157.3540435342952,cruise,"[11180298.06009332, 2559781.1832628436, 273.0566101074219]","[11180301.141396446, 2559787.9657816454, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
133,157.3540435342952,158.48489489789029,cruise,"[11180301.141396446, 2559787.9657816454, 273.0566101074219]","[11180308.157508131, 2559803.4095427888, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
134,158.48489489789029,159.61574626148538,cruise,"[11180308.157508131, 2559803.4095427888, 273.0566101074219]","[11180315.17361982, 2559818.853303932, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
135,159.61574626148538,160.2794413079164,cruise,"[11180315.17361982, 2559818.853303932, 273.0566101074219]","[11180319.291365726, 2559827.917225239, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
