interval_id,t_start,t_end,phase,dem_cells,distance_max_method,distance_max_km,fspl_upper_bound,obstacle_loss_db,path_loss_upper_bound,threshold,margin_lower_bound,los_clearance_lower_bound,los_state_known,continuous_certified
284,779.7245283310053,779.8765716409173,return_cruise,3,endpoints,2.9880867381540375,109.5620888346825,10.0,119.5620888346825,122.0,2.4379111653175016,-26.515782878097014,True,True
285,779.8765716409173,780.0286149508293,return_cruise,3,endpoints,2.9858080978716486,109.55546266548441,10.0,119.55546266548441,122.0,2.444537334515587,-26.491970186752383,True,True
286,780.0286149508293,781.1594663144243,return_cruise,3,endpoints,2.9835294606614973,109.54883144649241,10.0,119.54883144649241,122.0,2.4511685535075856,-26.468121057758538,True,True
287,781.1594663144243,782.2903176780194,return_cruise,3,endpoints,2.966581755151942,109.49935126287166,10.0,119.49935126287166,122.0,2.500648737128344,-26.289586912129153,True,True
288,782.2903176780194,783.2986114282911,return_cruise,3,endpoints,2.949634222835781,109.44958810394293,10.0,119.44958810394293,122.0,2.5504118960570707,-26.108997479544115,True,True
289,783.2986114282911,784.3069051785628,return_cruise,3,endpoints,2.9345235517597548,109.40497682230425,10.0,119.40497682230425,122.0,2.595023177695751,-25.946217444348065,True,True
290,784.3069051785628,784.4294627919007,return_cruise,3,endpoints,2.9194130229329374,109.36013565411346,10.0,119.36013565411346,122.0,2.6398643458865365,-25.781749245041738,True,True
291,784.4294627919007,784.5520204052385,return_cruise,3,endpoints,2.917576355331066,109.35466944830621,10.0,119.35466944830621,122.0,2.645330551693789,-25.761641880523428,True,True
292,784.5520204052385,785.6828717688481,return_cruise,3,endpoints,2.9157396898656422,109.3491998067033,10.0,119.3491998067033,122.0,2.6508001932967034,-25.74150913728124,True,True
293,785.6828717688481,786.8137231324578,return_cruise,3,endpoints,2.8987926954282024,109.29856799989861,10.0,119.29856799989861,122.0,2.7014320001013914,-25.554536316539497,True,True
294,786.8137231324578,787.8515025792891,return_cruise,3,endpoints,2.881845886624113,109.24763987816809,10.0,119.24763987816809,122.0,2.752360121831913,-25.36536033715987,True,True
295,787.8515025792891,788.8892820261204,return_cruise,3,endpoints,2.866294009046606,109.20063955306958,10.0,119.20063955306958,122.0,2.7993604469304216,-25.189781879042442,True,True
296,788.8892820261204,788.9823539428842,return_cruise,3,endpoints,2.8507422931801742,109.15338401235078,10.0,119.15338401235078,122.0,2.8466159876492156,-25.01228404569497,True,True
297,788.9823539428842,789.0754258596479,return_cruise,3,endpoints,2.849347565509601,109.1491333948469,10.0,119.1491333948469,122.0,2.850866605153101,-24.996270521452004,True,True
298,789.0754258596479,790.2062772232574,return_cruise,3,endpoints,2.8479528391622284,109.14488070023363,10.0,119.14488070023363,122.0,2.855119299766372,-24.980241282180998,True,True
299,790.2062772232574,791.337128586867,return_cruise,3,endpoints,2.831006607331848,109.09304249369534,10.0,119.09304249369534,122.0,2.906957506304664,-24.78421703305233,True,True
300,791.337128586867,792.4043937301552,return_cruise,3,endpoints,2.814060574788955,109.04089366858364,10.0,119.04089366858364,122.0,2.959106331416365,-24.58582722117586,True,True
301,792.4043937301552,793.4716588734434,return_cruise,3,endpoints,2.798067580455974,108.99138882623089,10.0,118.99138882623089,122.0,3.0086111737691112,-24.396384051362418,True,True
302,793.4716588734434,793.5352450937647,return_cruise,3,endpoints,2.7820747699704365,108.94160078911553,10.0,118.94160078911553,122.0,3.058399210884474,-24.204758427777506,True,True
303,793.5352450937647,793.598831314086,return_cruise,3,endpoints,2.7811219457251304,108.93862547591232,10.0,118.93862547591232,122.0,3.0613745240876824,-24.193271926331136,True,True
304,793.598831314086,794.7296826776811,return_cruise,3,endpoints,2.780169122144744,108.9356491452568,10.0,118.9356491452568,122.0,3.0643508547431964,-24.18177753550185,True,True
305,794.7296826776811,795.8605340412762,return_cruise,3,endpoints,2.7632237095551218,108.88254576739682,10.0,118.88254576739682,122.0,3.1174542326031798,-23.976028311364104,True,True
306,795.8605340412762,796.9572848811384,return_cruise,3,endpoints,2.7462785112807686,108.8291164083347,10.0,118.8291164083347,122.0,3.1708835916653015,-23.76773475792848,True,True
307,796.9572848811384,798.0540357210007,return_cruise,3,endpoints,2.729844499473811,108.7769830135537,10.0,118.7769830135537,122.0,3.2230169864462965,-23.563246942569435,True,True
308,798.0540357210007,798.0881362447624,return_cruise,3,endpoints,2.7134106967380642,108.72453548888186,10.0,118.72453548888186,122.0,3.2754645111181446,-23.356276879647282,True,True
309,798.0881362447624,798.1222367685242,return_cruise,3,endpoints,2.7128997351412623,108.72289969745121,10.0,118.72289969745121,122.0,3.2771003025487886,-23.349801421186925,True,True
310,798.1222367685242,799.2530881321193,return_cruise,3,endpoints,2.712388773751573,108.72126359856136,10.0,118.72126359856136,122.0,3.2787364014386355,-23.343323517808983,True,True
311,799.2530881321193,800.3839394957143,return_cruise,3,endpoints,2.6954442427806486,108.6668318854559,10.0,118.6668318854559,122.0,3.333168114544094,-23.127107247952324,True,True
312,800.3839394957143,801.5101760321362,return_cruise,3,endpoints,2.678499942706137,108.61205766261608,10.0,118.61205766261608,122.0,3.387942337383919,-22.908149406085272,True,True
313,801.5101760321362,802.6364125685581,return_cruise,3,endpoints,2.661625023523246,108.55716225305682,10.0,118.55716225305682,122.0,3.4428377469431837,-22.68730820055157,True,True
314,802.6364125685581,802.6410273957313,return_cruise,3,endpoints,2.644750342196547,108.5019184741419,10.0,118.5019184741419,122.0,3.4980815258580975,-22.463642539858142,True,True
315,802.6410273957313,802.6456422229045,return_cruise,3,endpoints,2.6446811975915807,108.501691386447,10.0,118.501691386447,122.0,3.498308613552993,-22.462720170446744,True,True
316,802.6456422229045,803.7764935865285,return_cruise,3,endpoints,2.6446120529910306,108.50146429282938,10.0,118.50146429282938,122.0,3.4985357071706176,-22.46179775270093,True,True
317,803.7764935865285,804.9073449501526,return_cruise,3,endpoints,2.6276684725142445,108.44563624041814,10.0,118.44563624041814,122.0,3.554363759581861,-22.23429490114134,True,True
318,804.9073449501526,806.0381963137477,return_cruise,3,endpoints,2.610725141263207,108.38944786306078,10.0,118.38944786306078,122.0,3.6105521369392193,-22.003832308688345,True,True
319,806.0381963137477,807.1690476773427,return_cruise,3,endpoints,2.593782064125634,108.3328944902895,10.0,118.3328944902895,122.0,3.6671055097104954,-21.7703518392276,True,True
320,807.1690476773427,807.1939185466119,return_cruise,3,endpoints,2.576839246108423,108.27597136042544,10.0,118.27597136042544,122.0,3.7240286395745557,-21.533793824028777,True,True
321,807.1939185466119,807.2187894158811,return_cruise,3,endpoints,2.576466624835702,108.27471525518413,10.0,118.27471525518413,122.0,3.725284744815866,-21.52855614447236,True,True
322,807.2187894158811,808.3247699102216,return_cruise,3,endpoints,2.5760940036893163,108.27345896869153,10.0,118.27345896869153,122.0,3.7265410313084715,-21.523316946103193,True,True
323,808.3247699102216,809.430750404562,return_cruise,3,endpoints,2.5595240769575613,108.2174092188582,10.0,118.2174092188582,122.0,3.7825907811418062,-21.288789598963376,True,True
324,809.430750404562,810.5616017681716,return_cruise,3,endpoints,2.5429544081624518,108.16099631253228,10.0,118.16099631253228,122.0,3.8390036874677236,-21.051198511421376,True,True
325,810.5616017681716,811.6924531317811,return_cruise,3,endpoints,2.5260123989375485,108.10293439343184,10.0,118.10293439343184,122.0,3.8970656065681624,-20.805033745711285,True,True
326,811.6924531317811,811.7468096976099,return_cruise,3,endpoints,2.509070670258785,108.0444827099559,10.0,118.0444827099559,122.0,3.9555172900440994,-20.555536385414257,True,True
327,811.7468096976099,811.8011662634387,return_cruise,3,endpoints,2.508256340348844,108.04166320874585,10.0,118.04166320874585,122.0,3.9583367912541547,-20.54345870270106,True,True
328,811.8011662634387,812.877661061205,return_cruise,3,endpoints,2.5074420111016833,108.03884279430446,10.0,118.03884279430446,122.0,3.9611572056955424,-20.53137315551905,True,True
329,812.877661061205,813.9541558589713,return_cruise,3,endpoints,2.4913149118411817,107.98279738440638,10.0,117.98279738440638,122.0,4.017202615593618,-20.290395400356545,True,True
330,813.9541558589713,815.0850072225953,return_cruise,3,endpoints,2.4751880775740456,107.92638892345599,10.0,117.92638892345599,122.0,4.073611076544012,-20.046269464681245,True,True
331,815.0850072225953,816.2158585862194,return_cruise,3,endpoints,2.4582472254861605,107.8667359875453,10.0,117.8667359875453,122.0,4.133264012454703,-19.786357955968327,True,True
332,816.2158585862194,816.2997008486078,return_cruise,3,endpoints,2.4413066777905184,107.80667161558041,10.0,117.80667161558041,122.0,4.193328384419587,-19.522829824206326,True,True
333,816.2997008486078,816.3835431109962,return_cruise,3,endpoints,2.4400507037635015,107.80220185392399,10.0,117.80220185392399,122.0,4.1977981460760105,-19.50314553994167,True,True
334,816.3835431109962,817.4305522122029,return_cruise,3,endpoints,2.4387947314468903,107.79772979703414,10.0,117.79772979703414,122.0,4.202270202965863,-19.483440927274785,True,True
335,817.4305522122029,818.4775613134096,return_cruise,3,endpoints,2.423110490139426,107.74168918932078,10.0,117.74168918932078,122.0,4.25831081067922,-19.23564790847462,True,True
