route,visit_order,box_set,drone_type,hard_deadline_ok,payload_ok,volume_ok,transport_reserve_ok,relay_block_count,feasible_block_count,worst_block_joint_margin,communication_geometry_pass,relay_chain_ok,component_ok,route_feasible,transport_energy,relay_energy,total_energy,makespan
O01->S008->S015->O01,S008->S015,"[""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,6.167142370697282,0.0,6.167142370697282,2406.3032968341586
O01->S008->S001->O01,S008->S001,"[""S008-FOD-01"", ""S008-HYG-01"", ""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,6.167725223561455,0.0,6.167725223561455,2160.8610285618693
O01->S007->S008->O01,S007->S008,"[""S007-MED-01"", ""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,6.176830946749901,0.0,6.176830946749901,2451.409115860756
O01->S005->S008->O01,S005->S008,"[""S005-FOD-01"", ""S005-HYG-01"", ""S005-MED-01"", ""S005-WAT-01"", ""S005-WAT-02"", ""S005-WAT-03"", ""S008-MED-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,6.1890085082951884,0.0,6.1890085082951884,2284.538961939056
O01->S011->S008->O01,S011->S008,"[""S008-FOD-01"", ""S008-HYG-01"", ""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02"", ""S011-MED-01"", ""S011-WAT-01""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,6.192720624996133,0.0,6.192720624996133,2270.425282421441
O01->S008->S004->O01,S008->S004,"[""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",C,True,True,True,True,7,0,-6.213629794260157,False,False,False,False,6.222553974624998,0.0,6.222553974624998,2206.8153113051053
O01->S015->S008->O01,S015->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S015-MED-01"", ""S015-WAT-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,6.230728250311541,0.0,6.230728250311541,2472.356995586148
O01->S001->S008->O01,S001->S008,"[""S008-FOD-01"", ""S008-HYG-01"", ""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,6.266755581347206,0.0,6.266755581347206,2160.8896304071677
O01->S008->S015->O01,S008->S015,"[""S008-MED-01"", ""S015-FOD-01"", ""S015-MED-01"", ""S015-WAT-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,6.272417070712403,0.0,6.272417070712403,2472.3032968341586
O01->S008->S006->O01,S008->S006,"[""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,6.275880663482276,0.0,6.275880663482276,2258.3391973544276
O01->S008->S001->O01,S008->S001,"[""S001-MED-01"", ""S008-FOD-01"", ""S008-HYG-01"", ""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,6.278262903614237,0.0,6.278262903614237,2226.8610285618693
O01->S015->S008->O01,S015->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,6.30331617873621,0.0,6.30331617873621,2406.356995586148
O01->S001->S008->O01,S001->S008,"[""S001-MED-01"", ""S008-FOD-01"", ""S008-HYG-01"", ""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,6.305969575212291,0.0,6.305969575212291,2226.889630407168
O01->S008->S009->O01,S008->S009,"[""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,6.313999642792215,0.0,6.313999642792215,2138.211658167081
O01->S008->S007->O01,S008->S007,"[""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,6.326681750189309,0.0,6.326681750189309,2451.372061507435
