primitive_interval,start,end,phase,direct_available,relay_required,direct_margin_lower_bound_db,transport_start_xyz,transport_end_xyz
90,172.8867270635484,173.94428824062723,cruise,True,False,10.65676187827026,"[11179429.227702003, 2559525.421842205, 372.9093322753906]","[11179425.60302802, 2559540.8656033487, 372.9093322753906]"
91,173.94428824062723,175.0018494177196,cruise,True,False,10.540982319081252,"[11179425.60302802, 2559540.8656033487, 372.9093322753906]","[11179421.978354039, 2559556.309364492, 372.9093322753906]"
92,175.0018494177196,176.05941059481196,cruise,True,False,10.426668473995676,"[11179421.978354039, 2559556.309364492, 372.9093322753906]","[11179418.353680054, 2559571.753125636, 372.9093322753906]"
93,176.05941059481196,176.74723063308664,cruise,True,False,10.353090591625417,"[11179418.353680054, 2559571.753125636, 372.9093322753906]","[11179415.996252937, 2559581.7974886578, 372.9093322753906]"
94,176.74723063308664,177.43505067136132,cruise,True,False,10.280108419390174,"[11179415.996252937, 2559581.7974886578, 372.9093322753906]","[11179413.63882582, 2559591.84185168, 372.9093322753906]"
95,177.43505067136132,177.80479181017898,cruise,True,False,10.241119446716652,"[11179413.63882582, 2559591.84185168, 372.9093322753906]","[11179412.371578954, 2559597.241249801, 372.9093322753906]"
96,177.80479181017898,178.17453294899664,cruise,True,False,10.202298551625958,"[11179412.371578954, 2559597.241249801, 372.9093322753906]","[11179411.10433209, 2559602.6406479226, 372.9093322753906]"
97,178.17453294899664,179.23209412607545,cruise,True,False,10.092175707096473,"[11179411.10433209, 2559602.6406479226, 372.9093322753906]","[11179407.479658108, 2559618.0844090665, 372.9093322753906]"
98,179.23209412607545,180.2896553031543,cruise,True,False,9.983384945413633,"[11179407.479658108, 2559618.0844090665, 372.9093322753906]","[11179403.854984125, 2559633.52817021, 372.9093322753906]"
99,180.2896553031543,181.34721648026016,cruise,True,False,9.8758955891511,"[11179403.854984125, 2559633.52817021, 372.9093322753906]","[11179400.230310142, 2559648.9719313537, 372.9093322753906]"
100,181.34721648026016,182.40477765736605,cruise,True,False,9.76967796397281,"[11179400.230310142, 2559648.9719313537, 372.9093322753906]","[11179396.605636159, 2559664.415692497, 372.9093322753906]"
101,182.40477765736605,183.46233883444486,cruise,True,False,9.664703357689802,"[11179396.605636159, 2559664.415692497, 372.9093322753906]","[11179392.980962176, 2559679.8594536404, 372.9093322753906]"
102,183.46233883444486,184.5199000115237,cruise,True,False,9.560943981256273,"[11179392.980962176, 2559679.8594536404, 372.9093322753906]","[11179389.356288195, 2559695.3032147842, 372.9093322753906]"
103,184.5199000115237,185.12499375887742,cruise,True,False,9.502113216776237,"[11179389.356288195, 2559695.3032147842, 372.9093322753906]","[11179387.28239629, 2559704.139510505, 372.9093322753906]"
104,185.12499375887742,185.73008750623114,cruise,True,False,9.44366654233491,"[11179387.28239629, 2559704.139510505, 372.9093322753906]","[11179385.208504386, 2559712.975806226, 372.9093322753906]"
105,185.73008750623114,186.18255493595626,cruise,True,False,9.400210308955707,"[11179385.208504386, 2559712.975806226, 372.9093322753906]","[11179383.65772231, 2559719.5832716483, 372.9093322753906]"
106,186.18255493595626,186.63502236568135,cruise,True,False,9.356964155982553,"[11179383.65772231, 2559719.5832716483, 372.9093322753906]","[11179382.106940228, 2559726.190737071, 372.9093322753906]"
107,186.63502236568135,187.69258354278725,cruise,True,False,9.256692418500236,"[11179382.106940228, 2559726.190737071, 372.9093322753906]","[11179378.482266247, 2559741.634498215, 372.9093322753906]"
108,187.69258354278725,188.75014471989311,cruise,True,False,9.157533267478328,"[11179378.482266247, 2559741.634498215, 372.9093322753906]","[11179374.857592262, 2559757.0782593586, 372.9093322753906]"
109,188.75014471989311,189.80770589697195,cruise,True,False,9.059463004871645,"[11179374.857592262, 2559757.0782593586, 372.9093322753906]","[11179371.23291828, 2559772.522020502, 372.9093322753906]"
110,189.80770589697195,190.86526707405076,cruise,True,False,8.962458656828531,"[11179371.23291828, 2559772.522020502, 372.9093322753906]","[11179367.6082443, 2559787.9657816454, 372.9093322753906]"
111,190.86526707405076,191.9228282511296,cruise,True,False,8.866497945655894,"[11179367.6082443, 2559787.9657816454, 372.9093322753906]","[11179363.983570317, 2559803.4095427888, 372.9093322753906]"
112,191.9228282511296,192.98038942820844,cruise,True,False,8.77155926308184,"[11179363.983570317, 2559803.4095427888, 372.9093322753906]","[11179360.358896334, 2559818.853303932, 372.9093322753906]"
113,192.98038942820844,193.50275688423037,cruise,True,False,8.725036264697565,"[11179360.358896334, 2559818.853303932, 372.9093322753906]","[11179358.568539644, 2559826.4815323455, 372.9093322753906]"
114,193.50275688423037,194.0251243402523,cruise,True,False,8.678755019062748,"[11179358.568539644, 2559826.4815323455, 372.9093322753906]","[11179356.778182955, 2559834.109760759, 372.9093322753906]"
115,194.0251243402523,194.56031806133626,cruise,True,False,8.631585563849825,"[11179356.778182955, 2559834.109760759, 372.9093322753906]","[11179354.943865662, 2559841.9252934894, 372.9093322753906]"
116,194.56031806133626,195.09551178242023,cruise,True,False,8.584664745471358,"[11179354.943865662, 2559841.9252934894, 372.9093322753906]","[11179353.109548368, 2559849.74082622, 372.9093322753906]"
117,195.09551178242023,196.15307295949907,cruise,True,False,8.492668816623237,"[11179353.109548368, 2559849.74082622, 372.9093322753906]","[11179349.484874386, 2559865.184587363, 372.9093322753906]"
118,196.15307295949907,197.21063413657788,cruise,True,False,8.401614683145212,"[11179349.484874386, 2559865.184587363, 372.9093322753906]","[11179345.860200403, 2559880.6283485065, 372.9093322753906]"
119,197.21063413657788,198.26819531367025,cruise,True,False,8.31148372263047,"[11179345.860200403, 2559880.6283485065, 372.9093322753906]","[11179342.235526422, 2559896.0721096504, 372.9093322753906]"
