primitive_index,start,end,phase,direct_available,relay_required,direct_margin
673,1523.683607163544,1524.74113925005,cruise,False,True,-5.935567724007029
674,1524.74113925005,1525.798671336556,cruise,False,True,-5.917972130891883
675,1525.798671336556,1526.3226467871275,cruise,False,True,-5.900340850540047
676,1526.3226467871275,1526.846622237699,cruise,False,True,-5.8915918135544985
677,1526.846622237699,1527.3801788736334,cruise,False,True,-5.882833962414466
678,1527.3801788736334,1527.913735509568,cruise,False,True,-5.873906893298255
679,1527.913735509568,1528.9712675960604,cruise,False,True,-5.864970647506624
680,1528.9712675960604,1530.0287996825527,cruise,False,True,-5.847231432298145
681,1530.0287996825527,1531.086331769059,cruise,False,True,-5.829455944784726
682,1531.086331769059,1532.1438638555649,cruise,False,True,-5.8116440364535435
683,1532.1438638555649,1533.2013959420708,cruise,False,True,-5.793795557876194
684,1533.2013959420708,1534.2589280285767,cruise,False,True,-5.775910358708572
685,1534.2589280285767,1534.7001794633748,cruise,False,True,-5.757988287672703
686,1534.7001794633748,1535.1414308981725,cruise,False,True,-5.750499430260476
687,1535.1414308981725,1535.757711549867,cruise,False,True,-5.743004116063943
688,1535.757711549867,1536.3739922015616,cruise,False,True,-5.73252484175454
689,1536.3739922015616,1537.4315242880812,cruise,False,True,-5.722032920212158
690,1537.4315242880812,1538.4890563746008,cruise,False,True,-5.703999316524019
691,1538.4890563746008,1539.546588461093,cruise,False,True,-5.685928226431315
692,1539.546588461093,1540.6041205475856,cruise,False,True,-5.667819493899913
693,1540.6041205475856,1541.661652634078,cruise,False,True,-5.649672961921951
694,1541.661652634078,1542.7191847205706,cruise,False,True,-5.631488472504387
695,1542.7191847205706,1543.0777121396084,cruise,False,True,-5.613265866663639
696,1543.0777121396084,1543.4362395586463,cruise,False,True,-5.6070793090824935
697,1543.4362395586463,1544.135244226128,cruise,False,True,-5.600888345897346
698,1544.135244226128,1544.8342488936096,cruise,False,True,-5.588805413773045
699,1544.8342488936096,1545.8917809801019,cruise,False,True,-5.576705664770515
700,1545.8917809801019,1546.9493130665944,cruise,False,True,-5.558367745718442
701,1546.9493130665944,1548.0068451531004,cruise,False,True,-5.539991064222988
702,1548.0068451531004,1549.0643772396065,cruise,False,True,-5.521575456215942
703,1549.0643772396065,1550.1219093261125,cruise,False,True,-5.503120756587137
704,1550.1219093261125,1551.1794414126184,cruise,False,True,-5.484626799171011
705,1551.1794414126184,1551.4552448162935,cruise,False,True,-5.466093416744968
706,1551.4552448162935,1551.7310482199687,cruise,False,True,-5.461253424912115
707,1551.7310482199687,1552.5127769027858,cruise,False,True,-5.456410737102459
708,1552.5127769027858,1553.2945055856032,cruise,False,True,-5.442670095481702
709,1553.2945055856032,1554.3520376721228,cruise,False,True,-5.42890770260675
710,1554.3520376721228,1555.4095697586422,cruise,False,True,-5.410255031060288
711,1555.4095697586422,1556.4671018451347,cruise,False,True,-5.39156225481716
712,1556.4671018451347,1557.5246339316272,cruise,False,True,-5.372829201213648
713,1557.5246339316272,1558.5821660181196,cruise,False,True,-5.3540556964648545
714,1558.5821660181196,1559.639698104612,cruise,False,True,-5.335241565665072
715,1559.639698104612,1559.8327774925272,cruise,False,True,-5.316386632770673
716,1559.8327774925272,1560.0258568804422,cruise,False,True,-5.312939766395004
717,1560.0258568804422,1560.8903095790467,cruise,False,True,-5.309491532943895
718,1560.8903095790467,1561.754762277651,cruise,False,True,-5.294036353185206
719,1561.754762277651,1562.8122943641436,cruise,False,True,-5.2785536507823565
720,1562.8122943641436,1563.869826450636,cruise,False,True,-5.259575243833552
721,1563.869826450636,1564.927358537142,cruise,False,True,-5.240555319059226
722,1564.927358537142,1565.984890623648,cruise,False,True,-5.221493694586314
723,1565.984890623648,1567.042422710154,cruise,False,True,-5.202390187345927
724,1567.042422710154,1568.0999547966599,cruise,False,True,-5.183244613062556
725,1568.0999547966599,1568.2103101687878,cruise,False,True,-5.164056786240508
726,1568.2103101687878,1568.3206655409158,cruise,False,True,-5.162052059907936
727,1568.3206655409158,1569.2678422552804,cruise,False,True,-5.160046871230321
728,1569.2678422552804,1570.215018969645,cruise,False,True,-5.142817354406446
729,1570.215018969645,1571.2725510561509,cruise,False,True,-5.125553626860508
730,1571.2725510561509,1572.3300831426568,cruise,False,True,-5.106237917127729
731,1572.3300831426568,1573.3876152291627,cruise,False,True,-5.0868792004914525
732,1573.3876152291627,1574.4451473156687,cruise,False,True,-5.067477285204774
733,1574.4451473156687,1575.5026794021612,cruise,False,True,-5.048031978238441
734,1575.5026794021612,1576.5602114886537,cruise,False,True,-5.028543085268495
735,1576.5602114886537,1576.587842845446,cruise,False,True,-5.009010410664885
736,1576.587842845446,1576.6154742022381,cruise,False,True,-5.008499469324704
737,1576.6154742022381,1577.6453749319655,cruise,False,True,-5.00798849795882
738,1577.6453749319655,1578.6752756616927,cruise,False,True,-4.9889216644027385
739,1578.6752756616927,1579.7328077481852,cruise,False,True,-4.969812927417209
740,1579.7328077481852,1580.7903398346778,cruise,False,True,-4.9501477208710725
741,1580.7903398346778,1581.84787192117,cruise,False,True,-4.930437936856578
742,1581.84787192117,1582.9054040076626,cruise,False,True,-4.910683373030224
743,1582.9054040076626,1583.9078434351873,cruise,False,True,-4.890883825666435
744,1583.9078434351873,1584.9102828627117,cruise,False,True,-4.872074030069371
745,1584.9102828627117,1584.9653755217066,cruise,False,True,-4.8532234555750335
746,1584.9653755217066,1585.0204681807015,cruise,False,True,-4.852186268881169
747,1585.0204681807015,1586.078000267194,cruise,False,True,-4.851148958454118
748,1586.078000267194,1587.1355323536866,cruise,False,True,-4.831213224147547
749,1587.1355323536866,1588.1930644401925,cruise,False,True,-4.81123167735899
750,1588.1930644401925,1589.2505965266985,cruise,False,True,-4.7912041072736145
751,1589.2505965266985,1590.3081286132044,cruise,False,True,-4.771130301625718
752,1590.3081286132044,1591.3656606997104,cruise,False,True,-4.75101004667215
753,1591.3656606997104,1592.285376111448,cruise,False,True,-4.730843127189047
754,1592.285376111448,1593.2050915231853,cruise,False,True,-4.713266235997693
755,1593.2050915231853,1593.3429081979402,cruise,False,True,-4.69565374295604
756,1593.3429081979402,1593.4807248726954,cruise,False,True,-4.693011486167649
757,1593.4807248726954,1594.5382569592148,cruise,False,True,-4.690368426242287
758,1594.5382569592148,1595.5957890457344,cruise,False,True,-4.670060206785678
759,1595.5957890457344,1596.653321132227,cruise,False,True,-4.64970444678859
760,1596.653321132227,1597.7108532187192,cruise,False,True,-4.6293009233981195
761,1597.7108532187192,1598.7683853052117,cruise,False,True,-4.608849412192328
762,1598.7683853052117,1599.8259173917043,cruise,False,True,-4.58834968716512
763,1599.8259173917043,1600.6629087881058,cruise,False,True,-4.567801520714738
764,1600.6629087881058,1601.4999001845076,cruise,False,True,-4.551504033421423
765,1601.4999001845076,1601.7204408746254,cruise,False,True,-4.535175944286976
766,1601.7204408746254,1601.9409815647432,cruise,False,True,-4.530868512022693
767,1601.9409815647432,1602.9985136512355,cruise,False,True,-4.526558945036044
768,1602.9985136512355,1604.056045737728,cruise,False,True,-4.50586407247296
769,1604.056045737728,1605.113577824234,cruise,False,True,-4.485119831777467
770,1605.113577824234,1606.1711099107401,cruise,False,True,-4.464325987124454
771,1606.1711099107401,1607.228641997246,cruise,False,True,-4.443482300994049
772,1607.228641997246,1608.286174083752,cruise,False,True,-4.422588534161889
773,1608.286174083752,1609.0404414643667,cruise,False,True,-4.401644445672105
774,1609.0404414643667,1609.7947088449812,cruise,False,True,-4.386675539818512
775,1609.7947088449812,1610.097973550859,cruise,False,True,-4.371680823211136
776,1610.097973550859,1610.4012382567369,cruise,False,True,-4.365644673546427
777,1610.4012382567369,1611.4587703432428,cruise,False,True,-4.359604331207137
778,1611.4587703432428,1612.516302429749,cruise,False,True,-4.338507814551775
779,1612.516302429749,1613.573834516255,cruise,False,True,-4.317359994860141
780,1613.573834516255,1614.6313666027609,cruise,False,True,-4.296160622302892
781,1614.6313666027609,1615.6888986892534,cruise,False,True,-4.274909445226712
782,1615.6888986892534,1616.7464307757457,cruise,False,True,-4.2536062101357
