primitive_interval,dem_cell,entry_parameter,exit_parameter,los_height_entry,los_height_exit,minimum_los_height,dem_height,clearance_lower_bound,pass,obstructed
10,180099880,0.0,1.0,250.47989965886381,250.47989965886381,250.47989965886381,133.5413055419922,116.93859411687163,True,False
10,353381671,0.0,1.0,228.75788180888884,228.75788180888884,228.75788180888884,133.5413055419922,95.21657626689665,True,False
10,524363502,0.0,1.0,207.324179005237,207.324179005237,207.324179005237,132.31642150878906,75.00775749644794,True,False
10,695345334,0.0,1.0,185.8904762015851,185.8904762015851,185.8904762015851,132.31642150878906,53.57405469279604,True,False
10,697645293,0.0,1.0,185.60216115526202,185.60216115526202,185.60216115526202,130.80474853515625,54.797412620105774,True,False
10,699945252,0.0,1.0,185.31384610893895,185.31384610893895,185.31384610893895,130.80474853515625,54.5090975737827,True,False
10,849972626,0.0,1.0,166.50692305446944,166.50692305446944,166.50692305446944,128.7255401611328,37.78138289333663,True,False
10,1000000000,0.0,1.0,147.7,147.7,147.7,128.7255401611328,18.974459838867176,True,False
10,6771918,0.0,1.0,272.2077054173443,272.2077054173443,272.2077054173443,135.11814880371094,137.08955661363336,True,False
10,13543836,0.0,1.0,271.3588007272667,271.3588007272667,271.3588007272667,135.11814880371094,136.2406519235558,True,False
10,185652177,0.0,1.0,249.7838826019014,249.7838826019014,249.7838826019014,133.5413055419922,116.24257705990922,True,False
10,357760517,0.0,1.0,228.2089644765361,228.2089644765361,228.2089644765361,133.5413055419922,94.66765893454391,True,False
10,527584474,0.0,1.0,206.92040895164274,206.92040895164274,206.92040895164274,132.31642150878906,74.60398744285368,True,False
10,697408430,0.0,1.0,185.6318534267494,185.6318534267494,185.6318534267494,132.31642150878906,53.315431917960325,True,False
10,699692814,0.0,1.0,185.3454908262774,185.3454908262774,185.3454908262774,130.80474853515625,54.54074229112115,True,False
10,701977198,0.0,1.0,185.05912822580544,185.05912822580544,185.05912822580544,130.80474853515625,54.25437969064919,True,False
10,850988599,0.0,1.0,166.3795641129027,166.3795641129027,166.3795641129027,128.7255401611328,37.65402395176989,True,False
11,0,0.0,1.0,273.0566101074219,273.0566101074219,273.0566101074219,140.24159240722656,132.8150177001953,True,False
11,6771918,0.0,1.0,272.2077054173443,272.2077054173443,272.2077054173443,135.11814880371094,137.08955661363336,True,False
11,13543836,0.0,1.0,271.3588007272667,271.3588007272667,271.3588007272667,135.11814880371094,136.2406519235558,True,False
11,185652177,0.0,1.0,249.7838826019014,249.7838826019014,249.7838826019014,133.5413055419922,116.24257705990922,True,False
11,357760517,0.0,1.0,228.2089644765361,228.2089644765361,228.2089644765361,133.5413055419922,94.66765893454391,True,False
11,527584474,0.0,1.0,206.92040895164274,206.92040895164274,206.92040895164274,132.31642150878906,74.60398744285368,True,False
11,697408430,0.0,1.0,185.6318534267494,185.6318534267494,185.6318534267494,132.31642150878906,53.315431917960325,True,False
11,699692814,0.0,1.0,185.3454908262774,185.3454908262774,185.3454908262774,130.80474853515625,54.54074229112115,True,False
11,701977198,0.0,1.0,185.05912822580544,185.05912822580544,185.05912822580544,130.80474853515625,54.25437969064919,True,False
11,850988599,0.0,1.0,166.3795641129027,166.3795641129027,166.3795641129027,128.7255401611328,37.65402395176989,True,False
11,1000000000,0.0,1.0,147.7,147.7,147.7,128.7255401611328,18.974459838867176,True,False
11,70939352,0.0,1.0,264.16389336106647,264.16389336106647,264.16389336106647,140.24159240722656,123.92230095383991,True,False
11,141878705,0.0,1.0,255.27117661471112,255.27117661471112,255.27117661471112,140.24159240722656,115.02958420748456,True,False
11,147689832,0.0,1.0,254.54271342322278,254.54271342322278,254.54271342322278,135.11814880371094,119.42456461951184,True,False
11,153500959,0.0,1.0,253.81425023173446,253.81425023173446,253.81425023173446,135.11814880371094,118.69610142802352,True,False
11,301190791,0.0,1.0,235.30035354812068,235.30035354812068,235.30035354812068,133.5413055419922,101.7590480061285,True,False
11,448880623,0.0,1.0,216.78645686450693,216.78645686450693,216.78645686450693,133.5413055419922,83.24515132251474,True,False
11,594610177,0.0,1.0,198.5182940263039,198.5182940263039,198.5182940263039,132.31642150878906,66.20187251751483,True,False
11,740339730,0.0,1.0,180.25013118810088,180.25013118810088,180.25013118810088,132.31642150878906,47.93370967931182,True,False
11,742300009,0.0,1.0,180.00439734269014,180.00439734269014,180.00439734269014,130.80474853515625,49.19964880753389,True,False
11,744260287,0.0,1.0,179.75866349727937,179.75866349727937,179.75866349727937,130.80474853515625,48.95391496212312,True,False
11,872130143,0.0,1.0,163.7293317486397,163.7293317486397,163.7293317486397,128.7255401611328,35.003791587506896,True,False
12,0,0.0,1.0,273.0566101074219,273.0566101074219,273.0566101074219,144.3026123046875,128.75399780273438,True,False
12,70939352,0.0,1.0,264.16389336106647,264.16389336106647,264.16389336106647,140.24159240722656,123.92230095383991,True,False
12,141878705,0.0,1.0,255.27117661471112,255.27117661471112,255.27117661471112,140.24159240722656,115.02958420748456,True,False
12,147689832,0.0,1.0,254.54271342322278,254.54271342322278,254.54271342322278,135.11814880371094,119.42456461951184,True,False
12,153500959,0.0,1.0,253.81425023173446,253.81425023173446,253.81425023173446,135.11814880371094,118.69610142802352,True,False
12,301190791,0.0,1.0,235.30035354812068,235.30035354812068,235.30035354812068,133.5413055419922,101.7590480061285,True,False
12,448880623,0.0,1.0,216.78645686450693,216.78645686450693,216.78645686450693,133.5413055419922,83.24515132251474,True,False
